[MATCH1]: 3 at 53  with score: 0.12720707683375437
[MATCH1]: 1 at 54  with score: 0.015809055398806005
[MATCH1]: 3 at 54  with score: 0.23340210326719782
[MATCH1]: 1 at 55  with score: 0.010192363124691139
[MATCH1]: 3 at 55  with score: 0.11915315299274636
[MATCH1]: 1 at 56  with score: 0.008069655102504965
[MATCH1]: 3 at 56  with score: 0.09316795498177277
[MATCH1]: 1 at 57  with score: 0.038106083364810174
[MATCH1]: 3 at 57  with score: 0.14900331519483612
[MATCH1]: 1 at 58  with score: 0.014953091574355043
[MATCH1]: 3 at 58  with score: 0.09608646930841092
[MATCH1]: 1 at 59  with score: 0.011739565972556659
[MATCH1]: 3 at 59  with score: 0.13274594555791147
[MATCH1]: 1 at 60  with score: 0.028625770474508944
[MATCH1]: 3 at 60  with score: 0.1058616603936424
[MATCH1]: 1 at 61  with score: 0.013964851676214474
[MATCH1]: 3 at 61  with score: 0.14200872962872407
[MATCH1]: 1 at 62  with score: 0.01543965300295207
[MATCH1]: 3 at 62  with score: 0.12281395201197727
[MATCH1]: 1 at 63  with score: 0.014660605864830657
[MATCH1]: 3 at 63  with score: 0.045866845268511286
[MATCH1]: 1 at 64  with score: 0.012530390477895215
[MATCH1]: 3 at 64  with score: 0.11322941186154424
[MATCH1]: 1 at 65  with score: 0.021890758765651597
[MATCH1]: 3 at 65  with score: 0.08843585986331924
[MATCH1]: 1 at 66  with score: 0.021831787632086274
[MATCH1]: 3 at 66  with score: 0.09796755018318157
[MATCH1]: 1 at 67  with score: 0.027340204421328562
[MATCH1]: 3 at 67  with score: 0.09497598052708714
[MATCH1]: 2 at 67  with score: 0.09021602000711268
[MATCH1]: 1 at 68  with score: 0.04169236008913948
[MATCH1]: 3 at 68  with score: 0.120345634791099
[MATCH1]: 2 at 68  with score: 0.05728809368575854
[MATCH1]: 1 at 69  with score: 0.019705811506279165
[MATCH1]: 3 at 69  with score: 0.13711696663492717
[MATCH1]: 2 at 69  with score: 0.10005770369489998
[MATCH1]: 1 at 70  with score: 0.0351458032637091
[MATCH1]: 3 at 70  with score: 0.10440348802137661
[MATCH1]: 2 at 70  with score: 0.06466528369621277
[MATCH1]: 1 at 71  with score: 0.03322703137554528
[MATCH1]: 3 at 71  with score: 0.12169291353548758
[MATCH1]: 2 at 71  with score: 0.02817956810421431
[MATCH1]: 1 at 72  with score: 0.03297231571175106
[MATCH1]: 3 at 72  with score: 0.12696834862391787
[MATCH1]: 2 at 72  with score: 0.09169177682087352
[MATCH1]: 1 at 73  with score: 0.03207453071681902
[MATCH1]: 3 at 73  with score: 0.1077080022155731
[MATCH1]: 2 at 73  with score: 0.07216082374162086
[MATCH1]: 1 at 74  with score: 0.04277992997972433
[MATCH1]: 3 at 74  with score: 0.14251876340121647
[MATCH1]: 2 at 74  with score: 0.03787260336888531
[MATCH1]: 1 at 75  with score: 0.04886237457124992
[MATCH1]: 3 at 75  with score: 0.15350952648788824
[MATCH1]: 2 at 75  with score: 0.030678685011506075
[MATCH1]: 1 at 76  with score: 0.04076322845677448
[MATCH1]: 3 at 76  with score: 0.11800814973072633
[MATCH1]: 2 at 76  with score: 0.027864385077463468
[MATCH1]: 1 at 77  with score: 0.051580649122249765
[MATCH1]: 3 at 77  with score: 0.10022910349626923
[MATCH1]: 2 at 77  with score: 0.017450834650968677
[MATCH1]: 1 at 78  with score: 0.042256595371082714
[MATCH1]: 3 at 78  with score: 0.12469111565921827
[MATCH1]: 2 at 78  with score: 0.018700617634442952
[MATCH1]: 1 at 79  with score: 0.039029621882547424
[MATCH1]: 3 at 79  with score: 0.0724805622409233
[MATCH1]: 2 at 79  with score: 0.019839790683010877
[MATCH1]: 1 at 80  with score: 0.04232273671929962
[MATCH1]: 3 at 80  with score: 0.05969001386496251
[MATCH1]: 2 at 80  with score: 0.027003912448892744
[MATCH1]: 1 at 81  with score: 0.01215633812385712
[MATCH1]: 3 at 81  with score: 0.05598059238491846
[MATCH1]: 2 at 81  with score: 0.033867470363853444
[MATCH1]: 1 at 82  with score: 0.0394921654552593
[MATCH1]: 3 at 82  with score: 0.16863590823168947
[MATCH1]: 2 at 82  with score: 0.07809719407358866
[MATCH1]: 1 at 83  with score: 0.03931548133499658
